Hersteller,Modell,Bauweise,Motorisierung,Leistung,Herkunftsland,Markt,Besonderheiten
BRM Aero,Bristell Classic,Metall-/Komposit-Tiefdecker,Rotax 912 iS / 915 iS / 916 iS,100-160 PS,Tschechien,Europa,"Marktführer 2024 mit 22 Neuzulassungen, Schulung und Schleppbetrieb"
BRM Aero,Bristell RG,Metall-/Komposit-Tiefdecker,Rotax 912 iS / 915 iS / 916 iS,100-160 PS,Tschechien,Europa,"Mit Einziehfahrwerk, Reiseflugzeug"
BRM Aero,Bristell B8,Metall-/Komposit-Tiefdecker,Rotax 912 iS / 915 iS / 916 iS,100-160 PS,Tschechien,Europa,"Spezialversion, robuste Konstruktion"
BRM Aero,B23 Energic,Elektroflugzeug,H55-Elektromotor,~75 kW,Tschechien,Europa,"Vollelektrisch, EASA CS-23 erwartet 2025"
JMB Aircraft,VL3 Standard,Faserverbund-Tiefdecker,Rotax 912 iS / 916 iS / TurboTech,100-160 PS,Belgien,Europa,"20 Neuzulassungen 2024, exzellente Flugeigenschaften"
JMB Aircraft,VL3 RG,Faserverbund-Tiefdecker,Rotax 912 iS / 916 iS,100-160 PS,Belgien,Europa,"Mit Einziehfahrwerk, Reiseflugzeug"
JMB Aircraft,Phoenix,Faserverbund-Tiefdecker,Rotax 912 iS / 916 iS / TurboTech,100-160 PS,Belgien,Europa,UL-Motorsegler mit Gleitzahl 1:32 für Segelflugschlepp
Comco Ikarus,C42 A,Ganzmetall-Schulterdecker,Rotax 912 UL / ULS,80-100 PS,Deutschland,Deutschland,"Meist verkauftes UL, über 1200 Exemplare, Schulungsflugzeug"
Comco Ikarus,C42 CS,Ganzmetall-Schulterdecker,Rotax 912 UL / ULS,80-100 PS,Deutschland,Deutschland,"Schulungsversion, gutmütig"
Comco Ikarus,C42 C,Ganzmetall-Schulterdecker,Rotax 912 UL / ULS / Turbo,80-100 PS,Deutschland,Deutschland,"Für Segelflugschlepp, Fallschirmabsatz, Bannerschlepp"
Aerospool,WT9 Dynamic UL 600,Faserverbund-Tiefdecker,Rotax 912 iS / 915 iS / 916 iS,100-160 PS,Slowakei,Europa,"17 Neuzulassungen 2024, ausgezeichnete Aerodynamik, Leergewicht 279 kg"
Aerospool,WT9 Dynamic LSA,Faserverbund-Tiefdecker,Rotax 912 iS / 915 iS,100-141 PS,Slowakei,Europa,LSA-Version mit 318 kg MTOW
Breezer Aircraft,B400-6 Sport,Rohr-Tuch Hybrid,Rotax 912 ULS,100 PS,Deutschland,Deutschland,"12 Neuzulassungen 2024, beliebtes Schulungsflugzeug"
Ellipse Aero,Hype,Carbon-Tiefdecker,Rotax 912 iS / 915 iS / 914 Turbo,100-130 PS,Tschechien,Europa,"Carbon-Hochleistungsmodell, Motorupgrade Rotax 916 iS geplant"
Ellipse Aero,Hype Carbon,Carbon-Tiefdecker,Rotax 912 iS / 915 iS / 914 Turbo,100-130 PS,Tschechien,Europa,"Erweiterte Carbon-Version, verschiedene Glascockpits"
Shark Aero,Shark 600,Carbon-Tiefdecker Tandem,Rotax 912 iS / EP14Ti Turbo / EP918Ti,100-130 PS,Tschechien,Europa,"Bis 370 km/h, Turbulenz-Reduktionssystem Steady Eddy"
Tarragon Aircraft,Tarragon,Carbon-Hochleistungs-UL,Rotax 912 ULS / 915 iS / 914 Turbo / TurboTech,100-140 PS,Lettland,Europa,"Weltrekord 402 km/h für UL, Hochleistungs-Sportflugzeug"
Blackwing,BW 650 RG,Komposit-Tiefdecker,Rotax 916 iS,160 PS,Schweden,Europa,"Zulassung März 2025, Sauerstoffanlage, E-Props Verstellpropeller"
Comco Ikarus,Weitere Modelle,Ganzmetall-Schulterdecker,Diverse Rotax,80-100 PS,Deutschland,Deutschland,Andere Varianten und Motorisierungen
Alpi Aviation,Pioneer 300,Metall-Struktur,Rotax 912 ULS,100 PS,Italien,Europa,"Bewährtes Marktmodell, zuverlässig"
ICP,Savannah SR,Ganzaluminium-Hochdecker,Rotax 912 ULS / 914 / Vergaser,80-100 PS,Italien,Europa,"STOL-Eigenschaften, raue Pisten, hohe Zuladung, 600 kg seit 2023"
Evektor,EV97 Eurostar,Ganzmetall-Tiefdecker,Rotax 912 UL / ULS,80-100 PS,Tschechien,Europa,"Über 1000 Exemplare weltweit, bewährtes Design seit 1997"
Tecnam,P92 Echo MkII,Ganzmetall mit Composite,Rotax 912 ULS,100 PS,Italien,Europa,"600-kg-Auflastung, Glascockpit-Optionen"
Tecnam,P2002 Sierra MkII,Ganzmetall,Rotax 912 ULS,100 PS,Italien,Europa,"Komfortables Interieur, bis 213 km/h TAS"
Flight Design,CTLS,Komposit-Hochdecker,Rotax 912 iS / ULS,100 PS,Deutschland,Europa,"Mit Airbags, neugestaltete Kabine, Sicherheitszelle"
Flight Design,F2,Komposit-Hochdecker,Rotax 912 iS / ULS,100 PS,Deutschland,Europa,Neue Generation mit verlängertem Leitwerksträger
Remos,GX,Komposit,Rotax 912 iS / ULS / 912 S,80-100 PS,Deutschland,Europa,"~450 Exemplare der G-3/GX-Serie, moderne Aerodynamik"
Remos,GXeLITE,Komposit,Rotax 912 ULS / iS,80-100 PS,Deutschland,Europa,Leichtere Variante der GX-Serie
Remos,GXiS,Komposit,Rotax 912 iS Sport,100 PS,Deutschland,Europa,Sportliche Variante mit iS-Motor
Roland Aircraft,Z-602 Economy,Ganzmetall-Tiefdecker,Rotax 912 ULS,100 PS,Deutschland,Europa,"Transportierbar in 20 Minuten, robuste Konstruktion"
Roland Aircraft,Z-602 Exclusiv,Ganzmetall-Tiefdecker,Rotax 912 ULS,100 PS,Deutschland,Europa,Premium-Ausstattung
Roland Aircraft,Z-602 RG,Ganzmetall-Tiefdecker,Rotax 912 ULS,100 PS,Deutschland,Europa,Mit Einziehfahrwerk
Magnus Aircraft,Fusion 212,Carbon-Tiefdecker Tandem,Rotax 912 ULS / 915 iS / ULPower,100-130 PS,Ungarn,Europa,Hochleistungs-UL mit transatlantischer Reichweite
Magnus Aircraft,Fusion 213,Carbon-Tiefdecker Tandem,Rotax 912 / 915 iS / ULPower,100-130 PS,Ungarn,Europa,Weiterentwicklung der Fusion 212
Orličan,M-8 Eagle,Karbonhochdecker abgestrebt,Rotax 912 ULS / iS / 914 Turbo,80-115 PS,Tschechien,Europa,"5 Neuzulassungen, Autopilot-Option, 600 kg seit Dezember 2023"
Direct Fly,Alto NG,Ganzmetall-Tiefdecker,Rotax 912 ULS / EP915ECi,100 PS,Tschechien,Europa,"Neue Generation seit 2022, 600 kg, 250 Stück verkauft, ideal für Schulen"
ATEC,321 Faeta NG,Komposit-Tiefdecker,Rotax 912 iS / ULS / 914 Turbo,100-115 PS,Tschechien,Europa,"Gute Langsamflugcharakteristiken, Überziehgeschwindigkeit 56 km/h"
Junkers Aircraft,A50 Junior,Ganzmetall gewellte Konstruktion,Rotax 912 iS,100 PS,Deutschland,Europa,Historisches Design mit moderner Technik
Junkers Aircraft,A50 Heritage,Ganzmetall gewellte Konstruktion,Verner-Sternmotor 7M,124 PS,Deutschland,Europa,"Mit Sternmotor, klassisches Design"
Junkers Aircraft,A60,Ganzmetall gewellte Konstruktion,Rotax 912 iS / EP916ECi,100-130 PS,Deutschland,Europa,Moderne Version der Junkers Tradition
Kitplanes for Africa,Explorer UL 600,Holz/Metall-Hybrid (Bausatz),Rotax 912 ULS / Turbo / Jabiru,100-135 PS,Südafrika,Europa/International,"STOL-Eigenschaften, trailerbar, für raue Bedingungen"
Kitplanes for Africa,Safari,Holz/Metall-Hybrid (Bausatz),Rotax 912 ULS / Turbo,100-120 PS,Südafrika,Europa/International,STOL-Spezialist mit Bausatz-Option
Smartaero,Belmont DW200,Komposit,Rotax 912 iS,100 PS,Lettland,Europa,"Neues Modell aus Europa, 3 Neuzulassungen"
TL Ultralight,TL 3000 Sirius,Komposit,Rotax 912 ULS,100 PS,Tschechien,Europa,Beliebtes Allroundmodell
Zlín Aviation,Savage,Metallhochdecker,Rotax 912,80-100 PS,Tschechien,Europa,"Für Abenteuerflüge konzipiert, 3 Neuzulassungen"
SFS Leichtflugzeugbau,Vagabund,Rohr-Tuch-Konstruktion,Rotax 912 ULS,100 PS,Deutschland,Deutschland,Speziell für Schulungen konzipiert
F.K. Lightplanes,FK9,Komposit-Tiefdecker,Rotax 912 ULS / iS,100 PS,Österreich,Europa,6 Neuzulassungen
F.K. Lightplanes,FK14,Komposit-Tiefdecker,Rotax 912 ULS / iS,100 PS,Österreich,Europa,3 Neuzulassungen
Aeroprakt,A32,Ganzmetall,Rotax 912 ULS,100 PS,Ukraine,Europa,4 Neuzulassungen
Aeroprakt,A22 Junior,Ganzmetall,Rotax 912 ULS,100 PS,Ukraine,Europa,Robustes Modell
Roland Aircraft,G70,Ganzmetall,Rotax 912,80-100 PS,Deutschland,Europa,3 Neuzulassungen
Porto Aviation,Risen,Komposit,Rotax 912,80-100 PS,Portugal,Europa,2 Neuzulassungen
Spacek,SD-2 Sport,Komposit,Rotax 912,80-100 PS,Tschechien,Europa,2 Neuzulassungen
Leichtflugzeuge Huber,Superstol,Stahl-Rohr/Tuch,Rotax 912,80-100 PS,Österreich,Europa,STOL-Spezialist
AutoGyro,Cavalon,Gyrokopter/Tragschrauber,Rotax 914 UL / 915 iS / 916 iS,115-160 PS,Deutschland,Europa,"Beliebter Rundflug-Gyrokopter, >500 im Einsatz, GMC 507 Autopilot"
Pipistrel,Velis Electro,Elektroflugzeug,E-811-268MVLC Elektromotor,57.6 kW,Slowenien,Europa,"Erstes elektrisches UL mit EASA-Zulassung Juni 2020, ~1h Flugzeit"
